Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW260388,05/04/2013 06:30:00 PM,031XX S MICHIGAN AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0211,002,3,35,14,1177701,1884261,2013,02/10/2018 03:50:01 PM,41.83773708,-87.623429152,POINT (-87.623429152 41.83773708)
HX311827,05/04/2013 12:00:00 PM,0000X W 35TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,GOVERNMENT BUILDING/PROPERTY,false,false,0211,002,3,35,26,1176725,1881799,2013,02/10/2018 03:50:01 PM,41.831003238,-87.627084778,POINT (-87.627084778 41.831003238)
HW258896,05/03/2013 02:30:00 PM,035XX S STATE ST,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0213,002,3,35,06,1176846,1881708,2013,02/10/2018 03:50:01 PM,41.830750796,-87.626643572,POINT (-87.626643572 41.830750796)
HW364888,05/02/2013 09:00:00 PM,031XX S MICHIGAN AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,false,false,0211,002,3,35,11,1177699,1884310,2013,02/10/2018 03:50:01 PM,41.837871585,-87.623435005,POINT (-87.623435005 41.837871585)
HW256932,05/02/2013 11:10:00 AM,035XX S MICHIGAN AVE,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,true,false,0213,002,3,35,04A,1177772,1881692,2013,02/10/2018 03:50:01 PM,41.830685937,-87.62324655,POINT (-87.62324655 41.830685937)
HW256524,05/02/2013 12:15:00 AM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW256064,05/01/2013 06:15:00 PM,001XX W 35TH ST,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,CTA TRAIN,true,false,0915,009,11,34,15,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW255461,05/01/2013 11:00:00 AM,035XX S STATE ST,ASSAULT,SIMPLE,BANK,false,false,0213,002,3,35,08A,1176847,1881660,2013,02/10/2018 03:50:01 PM,41.830619057,-87.626641352,POINT (-87.626641352 41.830619057)
HW254627,04/30/2013 07:05:00 PM,034XX S STATE ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0211,002,3,35,18,1176897,1882198,2013,02/10/2018 03:50:01 PM,41.832094244,-87.626441658,POINT (-87.626441658 41.832094244)
HW247600,04/25/2013 05:00:00 PM,001XX W 35TH ST,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,false,false,0915,009,11,34,26,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW247617,04/25/2013 05:00:00 PM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA GARAGE / OTHER PROPERTY,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
